TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
6;23238;1;0;0.4548383306954195
6;35929;0;0;0.5222094031595863
6;43301;1;0;0.5182437776560941
6;13933;1;0;0.5412790611449628
6;25362;0;0;0.5071196443645372
6;42038;0;0;0.47699983054552925
6;11339;1;0;0.5060767279765171
6;7829;0;0;0.504768415471337
6;32388;0;0;0.4951092432575411
6;35929;1;0;0.5154571381098525
6;4920;1;0;0.4804420074494479
6;40848;0;0;0.4513965141199996
6;40848;1;0;0.4561294697429184
6;37535;0;0;0.48299850863325655
6;25362;1;0;0.5078155193402959
6;7614;1;0;0.5240623526536693
6;43607;1;0;0.4917171295559971
6;43301;0;0;0.5213659482114043
6;4970;0;0;0.46204526612019786
6;13348;1;0;0.5098626926611888
6;40753;1;0;0.5118521065465074
6;25653;0;0;0.4788696501378882
6;4920;0;0;0.4725170058708638
6;34699;1;0;0.4969017761236635
6;40753;0;0;0.5235587655398983
6;44741;0;0;0.5200476481394558
6;43607;0;0;0.4895445156844015
6;13348;0;0;0.5154892279499433
6;21798;1;0;0.5074631373477679
6;13380;0;0;0.5473988624758724
6;17498;0;0;0.488609247520345
6;13933;0;0;0.5541850413236379
6;17498;1;0;0.49306768051538175
6;34699;0;0;0.49758048490228124
6;32722;1;0;0.5116829532708121
6;7781;1;0;0.4734610130361701
6;23238;0;0;0.49160875828186895
6;21798;0;0;0.514739012836633
6;27028;0;0;0.5047482334769758
6;1186;1;0;0.530035636982401
6;28502;0;0;0.4933112763726192
6;33662;0;0;0.5113661928123858
6;36850;1;0;0.5059824063247518
6;16816;1;0;0.4614078124940815
6;23953;1;0;0.5139502180181535
6;22325;0;0;0.5220141967747333
6;16441;0;0;0.5370385051725886
6;9007;0;0;0.47220521594651005
6;11339;0;0;0.5064231899782322
6;7614;0;0;0.5405744171376665
6;13380;1;0;0.5482749392603665
6;7320;0;0;0.47479219120227384
6;14424;1;0;0.4965557838002332
6;384;1;0;0.49092613608344593
6;1186;0;0;0.5206878531596817
6;18987;0;0;0.5286961489556244
6;33662;1;0;0.5113661928123858
6;41339;1;0;0.47021440588619473
6;14424;0;0;0.4881722895986881
6;36850;0;0;0.5356279134231409
6;1464;1;0;0.4953388040132282
6;33828;0;0;0.4390864127224158
