0,"[0, 20000[","[0, 40000[",*
114,"[0, 20000[","[0, 40000[",*
401,"[0, 20000[","[0, 40000[",*
594,"[0, 20000[","[0, 40000[",*
914,"[0, 20000[","[0, 40000[",*
991,"[0, 20000[","[0, 40000[",*
1055,"[0, 20000[","[0, 40000[",*
1086,"[0, 20000[","[0, 40000[",*
1111,"[0, 20000[","[0, 40000[",*
1151,"[0, 20000[","[0, 40000[",*
1173,"[0, 20000[","[0, 40000[",*
1264,"[0, 20000[","[0, 40000[",*
1409,"[0, 20000[","[0, 40000[",*
1424,"[0, 20000[","[0, 40000[",*
1455,"[0, 20000[","[0, 40000[",*
1471,"[0, 20000[","[0, 40000[",*
1506,"[0, 20000[","[0, 40000[",*
1639,"[0, 20000[","[0, 40000[",*
1731,"[0, 20000[","[0, 40000[",*
1797,"[0, 20000[","[0, 40000[",*
1831,"[0, 20000[","[0, 40000[",*
1848,"[0, 20000[","[0, 40000[",*
2009,"[0, 20000[","[0, 40000[",*
2036,"[0, 20000[","[0, 40000[",*
2050,"[0, 20000[","[0, 40000[",*
2062,"[0, 20000[","[0, 40000[",*
2105,"[0, 20000[","[0, 40000[",*
2174,"[0, 20000[","[0, 40000[",*
2176,"[0, 20000[","[0, 40000[",*
2202,"[0, 20000[","[0, 40000[",*
2228,"[0, 20000[","[0, 40000[",*
2290,"[0, 20000[","[0, 40000[",*
2329,"[0, 20000[","[0, 40000[",*
2346,"[0, 20000[","[0, 40000[",*
2354,"[0, 20000[","[0, 40000[",*
2387,"[0, 20000[","[0, 40000[",*
2407,"[0, 20000[","[0, 40000[",*
2414,"[0, 20000[","[0, 40000[",*
2463,"[0, 20000[","[0, 40000[",*
2538,"[0, 20000[","[0, 40000[",*
2580,"[0, 20000[","[0, 40000[",*
2597,"[0, 20000[","[0, 40000[",*
2635,"[0, 20000[","[0, 40000[",*
2653,"[0, 20000[","[0, 40000[",*
2829,"[0, 20000[","[0, 40000[",*
2885,"[0, 20000[","[0, 40000[",*
2907,"[0, 20000[","[0, 40000[",*
2936,"[0, 20000[","[0, 40000[",*
2961,"[0, 20000[","[0, 40000[",*
2964,"[0, 20000[","[0, 40000[",*
2977,"[0, 20000[","[0, 40000[",*
2993,"[0, 20000[","[0, 40000[",*
3103,"[0, 20000[","[0, 40000[",*
3137,"[0, 20000[","[0, 40000[",*
3273,"[0, 20000[","[0, 40000[",*
3325,"[0, 20000[","[0, 40000[",*
3411,"[0, 20000[","[0, 40000[",*
3418,"[0, 20000[","[0, 40000[",*
3432,"[0, 20000[","[0, 40000[",*
3456,"[0, 20000[","[0, 40000[",*
3464,"[0, 20000[","[0, 40000[",*
3471,"[0, 20000[","[0, 40000[",*
3674,"[0, 20000[","[0, 40000[",*
3781,"[0, 20000[","[0, 40000[",*
3818,"[0, 20000[","[0, 40000[",*
3887,"[0, 20000[","[0, 40000[",*
3908,"[0, 20000[","[0, 40000[",*
3942,"[0, 20000[","[0, 40000[",*
4064,"[0, 20000[","[0, 40000[",*
4101,"[0, 20000[","[0, 40000[",*
4386,"[0, 20000[","[0, 40000[",*
4416,"[0, 20000[","[0, 40000[",*
4508,"[0, 20000[","[0, 40000[",*
4650,"[0, 20000[","[0, 40000[",*
4687,"[0, 20000[","[0, 40000[",*
4787,"[0, 20000[","[0, 40000[",*
4865,"[0, 20000[","[0, 40000[",*
4931,"[0, 20000[","[0, 40000[",*
4934,"[0, 20000[","[0, 40000[",*
5013,"[0, 20000[","[0, 40000[",*
5060,"[0, 20000[","[0, 40000[",*
5178,"[0, 20000[","[0, 40000[",*
5455,"[0, 20000[","[0, 40000[",*
5556,"[0, 20000[","[0, 40000[",*
5721,"[0, 20000[","[0, 40000[",*
6097,"[0, 20000[","[0, 40000[",*
6360,"[0, 20000[","[0, 40000[",*
6418,"[0, 20000[","[0, 40000[",*
6497,"[0, 20000[","[0, 40000[",*
6514,"[0, 20000[","[0, 40000[",*
6612,"[0, 20000[","[0, 40000[",*
6723,"[0, 20000[","[0, 40000[",*
6767,"[0, 20000[","[0, 40000[",*
6849,"[0, 20000[","[0, 40000[",*
7262,"[0, 20000[","[0, 40000[",*
7298,"[0, 20000[","[0, 40000[",*
7430,"[0, 20000[","[0, 40000[",*
7443,"[0, 20000[","[0, 40000[",*
7688,"[0, 20000[","[0, 40000[",*
7896,"[0, 20000[","[0, 40000[",*
7978,"[0, 20000[","[0, 40000[",*
8614,"[0, 20000[","[0, 40000[",*
9386,"[0, 20000[","[0, 40000[",*
9562,"[0, 20000[","[0, 40000[",*
10520,"[0, 20000[","[0, 40000[",*
10566,"[0, 20000[","[0, 40000[",*
10605,"[0, 20000[","[0, 40000[",*
11678,"[0, 20000[","[0, 40000[",*
13550,"[0, 20000[","[0, 40000[",*
14084,"[0, 20000[","[0, 40000[",*
14344,"[0, 20000[","[0, 40000[",*
15020,"[0, 20000[","[0, 40000[",*
15024,"[0, 20000[","[0, 40000[",*
15831,"[0, 20000[","[0, 40000[",*
18481,"[0, 20000[","[0, 40000[",*
20051,"[20000, 40000[","[0, 40000[",*
22040,"[20000, 40000[","[0, 40000[",*
25124,"[20000, 40000[","[0, 40000[",*
25236,"[20000, 40000[","[0, 40000[",*
27828,"[20000, 40000[","[0, 40000[",*
34095,"[20000, 40000[","[0, 40000[",*
41310,"[40000, 60000[","[40000, 60000[",*
99999,"[80000, 100000[","[60000, 100000[",*
