United-States;North America;*
Cambodia;Asia;*
England;Europa;*
Puerto-Rico;North America;*
Canada;North America;*
Germany;Europe;*
Outlying-US(Guam-USVI-etc);North America;*
India;Asia;*
Japan;Asia;*
Greece;Europe;*
South;Africa;*
China;Asia;*
Cuba;North America;*
Iran;Asia;*
Honduras;North America;*
Philippines;Asia;*
Italy;Europe;*
Poland;Europe;*
Jamaica;North America;*
Vietnam;Asia;*
Mexico;North America;*
Portugal;Europe;*
Ireland;Europe;*
France;Europe;*
Dominican-Republic;North America;*
Laos;Asia;*
Ecuador;South America;*
Taiwan;Asia;*
Haiti;North America;*
Columbia;South America;*
Hungary;Europe;*
Guatemala;North America;*
Nicaragua;South America;*
Scotland;Europe;*
Thailand;Asia;*
Yugoslavia;Europe;*
El-Salvador;North America;*
Trinadad&Tobago;South America;*
Peru;South America;*
Hong;Asia;*
Holand-Netherlands;Europe;*
