TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
4;13588;1;0;0.4794683564693157
4;31655;0;0;0.5249826127698748
4;27137;0;0;0.5310442366341735
4;3472;1;0;0.4520730205373028
4;21143;1;0;0.5216251709910628
4;11568;1;0;0.4950583424404598
4;38912;1;0;0.44978353932674425
4;20357;1;0;0.4806229843282759
4;47239;1;0;0.45441995657413853
4;27428;1;0;0.48357819958802506
4;42562;0;0;0.5079514851232053
4;27596;1;0;0.5495379028478763
4;3472;0;0;0.4520730205373028
4;6713;1;0;0.4751853995177035
4;13646;1;0;0.4029962589075989
4;27428;0;0;0.48357819958802506
4;42562;1;0;0.5079514851232053
4;30709;0;0;0.5373505641981817
4;12048;1;0;0.49269234413096086
4;41664;1;0;0.46321248417959665
4;13646;0;0;0.5610485371521288
4;31655;1;0;0.5231503556431131
4;19401;1;0;0.47258168819222784
4;41800;0;0;0.5068674772098269
4;6713;0;0;0.4751853995177035
4;13588;0;0;0.4733032150296711
4;38324;1;0;0.528504947358801
4;27379;1;0;0.49691052038085787
4;12048;0;0;0.4895054730667924
4;38324;0;0;0.5227742688759287
4;37530;0;0;0.4821042592406721
4;20012;0;0;0.4710291466708321
4;39868;0;0;0.5142076826075386
4;38890;1;0;0.5107721198252164
4;34431;1;0;0.49599537348198114
4;41800;1;0;0.5068674772098269
4;41664;0;0;0.4612045683668506
4;20357;0;0;0.5237738869388605
4;26380;0;0;0.49579883018121984
4;11568;0;0;0.5354738724690388
4;45090;0;0;0.4976460822782557
4;40930;0;0;0.47679234643072105
4;27137;1;1;0.5794797198313489
4;32784;0;0;0.5277251784199576
4;21143;0;0;0.5364557730268381
4;27596;0;0;0.5495379028478763
4;38890;0;0;0.5107721198252164
4;39868;1;0;0.5142076826075386
4;36916;1;0;0.49090276952198353
4;27036;0;0;0.4508901638175848
4;40930;1;0;0.47173700273787234
4;36232;0;0;0.5617648832282806
4;19401;0;0;0.47788437855204713
4;40590;1;0;0.5015282468272081
4;32679;1;0;0.5282788845976196
4;36916;0;0;0.49090276952198353
4;16269;0;0;0.48203752838183167
4;31834;0;0;0.5147134279458287
4;13827;1;0;0.5113256906356555
4;14086;1;0;0.4971561342255533
4;32679;0;0;0.5115886284349425
4;27036;1;0;0.4508901638175848
4;31834;1;0;0.5069480204887937
4;29265;0;0;0.4767851973874803
4;42588;1;0;0.47659245408459633
4;38912;0;0;0.4463725930112479
4;39609;1;0;0.5193857205267087
4;13827;0;0;0.5132328514862705
4;34431;0;0;0.5105521267305945
4;36082;0;0;0.49926069604680934
4;26213;1;0;0.5501055407068298
4;20012;1;0;0.4684753721447271
4;42588;0;0;0.47868508113515607
4;27781;1;0;0.5054211202697412
4;16417;1;0;0.5070505671079564
4;16269;1;0;0.4797690833017347
4;13907;1;0;0.5184532457171838
4;37530;1;0;0.47488263921406587
4;40590;0;0;0.5049651005820739
4;30709;1;0;0.5361309737563206
4;48315;0;0;0.4964406206638937
4;27781;0;0;0.5054211202697412
4;45090;1;0;0.49019744332329723
4;26380;1;0;0.49579883018121984
4;36082;1;0;0.4459132092755283
4;6249;1;0;0.4962954745854599
4;26213;0;0;0.5501234694787155
4;28704;1;0;0.5506922564999521
4;13907;0;0;0.5184532457171838
4;28704;0;0;0.538349138581474
4;29265;1;0;0.47035796328796176
4;16417;0;0;0.5070505671079564
4;32784;1;0;0.5311177170718897
4;36232;1;0;0.476199073322288
4;47239;0;0;0.44233242304567166
4;6249;0;0;0.4962954745854599
4;39609;0;0;0.5174390058956401
4;27379;0;0;0.49691052038085787
4;14086;0;0;0.4971561342255533
4;48315;1;0;0.4964406206638937
3;40930;1;0;0.4741588904446096
3;27428;1;0;0.49946988935764114
3;36916;1;0;0.5226493764943061
3;29265;1;0;0.5365718409883837
3;38324;1;0;0.4632825666974029
3;45090;0;0;0.5041500618068034
3;39609;1;0;0.5089646265592437
3;19401;1;0;0.5359688589807616
3;39868;0;0;0.48857534324641066
3;27379;1;0;0.48535330293262124
3;6713;0;0;0.48710986090836417
3;39868;1;0;0.48857534324641066
3;34431;0;0;0.5221597316024734
3;20357;1;0;0.42754544130819994
3;45090;1;0;0.5049942958662488
3;11568;1;0;0.49786823396437696
3;30709;1;0;0.4664066386432413
3;19401;0;0;0.5359688589807616
3;14086;1;0;0.47690707906931173
