TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
5;27036;0;0;0.5439639913496663
5;13827;1;0;0.4692612684180242
5;13907;0;0;0.49479056223582163
5;40590;1;1;0.6373398618544442
5;31834;0;0;0.479155220349434
5;26213;1;1;0.6745339234469273
5;12048;0;0;0.5068784758698762
5;41800;0;0;0.6249904177179865
5;30709;0;0;0.5773109937335921
5;38324;1;0;0.507065633648755
5;40930;1;1;0.6398647604313902
5;27036;1;0;0.42890261457227213
5;45090;1;1;0.7045241292101608
5;36082;1;0;0.46797005219597637
5;39868;1;0;0.3663829934163275
5;36916;0;0;0.5341849108199446
5;20357;1;0;0.4375471687926063
5;20012;0;0;0.516142304949655
5;48315;0;0;0.5353857593629817
5;19401;1;1;0.6737964807929055
5;6713;1;1;0.6927805431986361
5;16417;1;0;0.4383207039994843
5;38324;0;0;0.5283910665539201
5;16269;1;0;0.40155274770442284
5;21143;0;0;0.5411986815355492
5;29265;1;1;0.6555240880779938
5;27137;0;0;0.6259972561009164
5;14086;1;1;0.7704797963049723
5;13827;0;0;0.5188134060095345
5;39609;1;0;0.4669865924614289
5;26213;0;0;0.4902255720093222
5;32784;1;1;0.6489122077687854
5;38890;1;0;0.44064897989842366
5;40590;0;0;0.6278815556138589
5;31834;1;0;0.409542185194129
5;27379;1;0;0.5167305384790261
5;27379;0;0;0.5423328925677378
5;47239;1;0;0.3969924773956337
5;6249;0;1;0.6325881907459944
5;36232;0;0;0.5787413231265693
5;32679;0;0;0.48055954882341356
5;36082;0;0;0.5763234157081645
5;32679;1;0;0.40596722401891894
5;39609;0;0;0.5169889560431484
5;20357;0;0;0.5863890077801581
5;37530;0;0;0.4758428320753708
5;6713;0;0;0.5480517653599782
5;48315;1;1;0.790997648472441
5;38912;0;0;0.5306273309051635
5;3472;0;0;0.4750202725036065
5;45090;0;0;0.6857136385458499
5;34431;1;0;0.4332594670581576
5;32784;0;0;0.3976186455336992
5;13588;1;0;0.46994654416742887
5;40930;0;0;0.41241820573597643
5;21143;1;0;0.45914565421927933
5;38890;0;0;0.4874030281224227
5;16417;0;0;0.4754084945553666
5;42562;1;0;0.3826816571513838
5;29265;0;0;0.6979556481571774
5;30709;1;0;0.40279670724360456
5;3472;1;0;0.3576228133046254
5;36232;1;0;0.43909353121330474
5;42588;1;0;0.4369376920672908
5;12048;1;0;0.44429537042107975
5;41664;1;1;0.6632182276342963
5;39868;0;0;0.4784729094197145
5;38912;1;0;0.5301429569811975
5;27781;1;1;0.6077999655332762
5;41664;0;0;0.4624062516724336
5;42562;0;0;0.47283582215907294
5;31655;1;0;0.39213966247857884
5;27428;0;1;0.6054193289021585
5;34431;0;0;0.4806981972812297
5;37530;1;0;0.4434960427090132
5;41800;1;1;0.7126624353692602
5;26380;0;0;0.5287641913842096
5;31655;0;0;0.5030283974599027
5;20012;1;0;0.43909968621055995
5;42588;0;0;0.48395259089759524
5;28704;0;0;0.5088694931176205
5;28704;1;0;0.43990714231116135
5;13907;1;1;0.6167858957687069
5;47239;0;0;0.5084349594485291
5;27596;1;1;0.6551748918699739
5;26380;1;1;0.6311579650804694
5;11568;1;0;0.42281940535103957
5;27428;1;1;0.7161469017805739
5;19401;0;0;0.5277991050484093
5;11568;0;0;0.46474888492762106
5;27781;0;0;0.5179041296420502
5;27137;1;0;0.4015347718846212
5;13646;0;0;0.6229414423589096
5;6249;1;1;0.6763118643595577
5;36916;1;0;0.5107657989347439
5;13646;1;0;0.36765974171656896
5;27596;0;0;0.6068233251464372
5;16269;0;0;0.4317681368796881
5;13588;0;0;0.486756778382654
5;14086;0;0;0.7224500697107402
1;27137;0;0;0.6249969126137639
1;26380;1;1;0.680215264369889
1;6249;0;0;0.6586543158710431
1;47239;0;0;0.49252761771903375
1;20012;1;0;0.46481289468334586
1;34431;0;0;0.48357971765028274
1;30709;0;0;0.5970849708269367
1;27137;1;1;0.7057937981075747
1;13827;0;0;0.45175556631066444
1;16269;0;0;0.4790631108006679
1;32784;0;0;0.4214638374909023
1;20357;0;0;0.5676332991992037
1;28704;1;0;0.38283818730804975
1;27379;0;0;0.5670794999558643
1;21143;0;0;0.5572983125632343
1;13907;1;1;0.6635326388723087
1;38912;1;0;0.4718362596842332
1;14086;0;0;0.6076704483948739
1;36082;1;0;0.3726017925291513
1;19401;0;0;0.5426055300141762
1;48315;0;0;0.5900822587205694
1;40590;0;0;0.5846718877175638
1;30709;1;0;0.3785790272303835
1;31655;0;0;0.5667295182100971
1;27781;1;1;0.6674618471951714
1;6249;1;0;0.3988520927583646
1;39868;0;0;0.5092032926287935
1;39609;0;0;0.5267544678768976
1;13907;0;0;0.555084008359161
1;11568;1;0;0.44084748027652854
1;13646;0;0;0.5160104963742779
1;16417;1;0;0.41939344929232875
1;27428;1;1;0.801629582726323
1;12048;0;0;0.45436116528493303
1;11568;0;0;0.4933175938489402
1;26380;0;0;0.5340572113122751
1;42588;1;0;0.3757637987535754
1;39609;1;0;0.44366875375825665
1;38890;1;0;0.3804831527461009
1;38324;1;1;0.5869955044126729
1;32679;0;0;0.46870127603363393
1;26213;0;0;0.5070101204426177
1;29265;0;0;0.6759467919535872
1;21143;1;1;0.614523783832321
1;40930;1;1;0.6379866289421587
1;28704;0;0;0.5265695917280063
1;13588;0;0;0.4705265944320836
1;27781;0;1;0.6044867446021173
1;27036;1;0;0.4382691521280525
1;41664;0;0;0.5736208292198267
1;40590;1;0;0.3319929697005046
1;32784;1;0;0.3858582388767431
1;3472;1;1;0.6359300920589007
1;31655;1;1;0.627852424807424
1;38890;0;0;0.5682112351327867
1;36082;0;0;0.6140004809783771
1;37530;0;0;0.6061431764202418
1;27428;0;0;0.683558635986287
1;41800;0;0;0.6217870166466325
1;3472;0;0;0.4532735825365105
1;38324;0;0;0.43849584167858563
1;29265;1;1;0.7668645406352433
1;36232;1;0;0.3263496703725532
1;48315;1;0;0.3704494205626797
1;27036;0;0;0.5479397910334051
1;12048;1;1;0.6164553245571748
1;32679;1;1;0.6582245059542229
1;6713;0;0;0.6639746969012545
1;13646;1;1;0.7036775906169508
1;38912;0;0;0.5672298928425448
1;42588;0;0;0.5736844716221166
1;16417;0;0;0.4347349769687129
1;41664;1;1;0.6948430154005714
1;42562;1;1;0.659021909340314
1;16269;1;1;0.6158400427976544
1;31834;0;0;0.608233552222407
1;14086;1;1;0.7921925793999114
1;45090;0;0;0.5740938663662554
1;27596;0;0;0.618830348182784
1;19401;1;1;0.7056858160067
1;45090;1;1;0.7231276756873574
1;27379;1;0;0.542277283843279
1;6713;1;1;0.7740841193827871
1;27596;1;1;0.7223467605679633
1;36232;0;0;0.5373926812569385
1;42562;0;0;0.4710078840022654
1;34431;1;0;0.3774248765544085
1;47239;1;0;0.3835538374573401
1;13588;1;0;0.3931199716878372
1;20357;1;0;0.41020396270995424
1;37530;1;0;0.4442861053025614
1;41800;1;1;0.7861087346992716
1;39868;1;1;0.6621873687483804
1;20012;0;0;0.5023948687715939
1;36916;0;0;0.5740252971132056
1;36916;1;0;0.49539255814081173
1;26213;1;1;0.6348302534071147
1;13827;1;1;0.608590023181255
1;40930;0;0;0.6370096985790823
1;31834;1;0;0.4184850049014756
3;40590;0;0;0.635774694949047
3;16417;0;0;0.6103202191269986
3;45090;1;0;0.38441705526344716
3;36916;0;0;0.5583840794653607
3;20357;1;0;0.47430477627995044
3;27137;1;0;0.3515905303433974
3;38912;0;0;0.6055628830050979
3;12048;0;0;0.5741071450623223
3;37530;1;0;0.41367918687398497
3;20012;0;0;0.4786891799256345
3;26213;0;0;0.6134109181593522
3;40930;1;0;0.4387583017326396
3;38890;1;0;0.4240408699868433
3;45090;0;0;0.6867716362639005
3;47239;0;0;0.5792564737109763
3;28704;0;0;0.5874899191108156
3;42588;0;0;0.5985836573007692
3;38912;1;0;0.505696307689664
3;27379;1;1;0.6078878250143019
3;30709;0;0;0.7001779181918583
3;13646;0;0;0.6647692278623343
3;42562;0;0;0.6851482051233713
3;48315;1;1;0.7378509926545664
3;19401;0;0;0.6637056087797041
3;26380;0;0;0.6192511437131331
3;29265;0;0;0.6766847556748824
3;38890;0;0;0.5819590796918134
3;31834;1;0;0.4590703834695502
3;32784;0;0;0.5816679264174522
3;42588;1;0;0.40907853262909105
3;39609;1;0;0.4365296930644026
3;41800;0;0;0.6744839567612271
3;12048;1;0;0.47673736455917576
